index,sp600,sp100,r^2,beta
174,PSMT,PM,0.5762080655,1.597211264
18,PECO,COST,0.5751877792,0.04619875395
130,MYRG,ABT,0.5742597706,1.448613497
445,GOGO,NVDA,0.5732492518,-0.01924310189
509,VVI,FDX,0.5707428354,0.1433504614
515,WRLD,USB,0.5705544168,4.392486493
33,GPI,SCHW,0.5687256261,2.215363521
274,FULT,DHR,0.5674049861,0.03344638056
217,SABR,RTX,0.5673839764,0.04712591967
572,MERC,TMO,0.5663907418,0.01910556578
259,EPAC,CHTR,0.5633808069,0.04122762381
329,ARR,MO,0.5614034006,0.109154243
236,TBBK,CAT,0.5580024548,0.1014240113
227,AROC,DHR,0.5578129031,0.01960615115
14,PTEN,AIG,0.5566531146,0.4118291902
248,ANDE,TMO,0.5496675799,0.04841592586
152,DAN,SBUX,0.5450028692,0.1267274796
276,GTY,CL,0.5438182017,0.292452661
22,BCC,GD,0.5407448326,0.5824212814
365,CVI,CVX,0.5401569969,0.3222331758
444,EIG,SCHW,0.5358236372,0.2356377803
205,PEB,COST,0.5346694325,0.02320549446
61,NMIH,AMT,0.5339774912,0.09840210011
277,MDRX,GD,0.5304962201,0.09144762881
45,JBT,HON,0.5299622018,0.7275312648
231,CSGS,CMCSA,0.5284155464,0.7833419433
56,WD,SBUX,0.5261132943,0.6595473915
466,SXC,QCOM,0.523372381,0.04345008
209,MXL,KHC,0.5223214885,-0.9811729761
172,AIR,GD,0.5176754417,0.3233857409
520,HIBB,BK,0.5157014915,2.649430738
456,KOP,NKE,0.5156705502,0.1602126852
257,WLY,MRK,0.5104845784,0.3909135926
160,CCS,PG,0.507522254,1.364025167
272,TFIN,COST,0.5074944811,0.09459430855
345,CIR,IBM,0.5039344977,-0.0134813005
320,CHCO,COF,0.5029740046,0.30908443
193,CNK,MA,0.5024130522,-0.05797940782
501,KELYA,NVDA,0.502027026,0.01017190346
206,CALM,ABT,0.5010092947,-0.2997218886
194,TALO,CAT,0.4954333867,0.03463567542
430,JBSS,GM,0.4929061535,-4.660604752
344,KALU,MS,0.4927974256,1.0603778
360,PRDO,MET,0.4864178734,0.2576627368
370,CAL,BK,0.4862029671,1.604380167
96,IOSP,PM,0.481068172,1.331883099
74,LXP,NVDA,0.4783208306,0.004391898745
123,BLMN,NVDA,0.4763407656,0.0236806811
254,VECO,AMD,0.4762879041,0.1713049205
336,CARS,WBA,0.4701751666,0.1020645585
400,GEO,AMD,0.4632367501,0.03023715297
220,STRA,SPG,0.4629248502,-0.6922604996
450,NXRT,TMO,0.4520760948,0.03221603471
475,TTGT,TMO,0.4500501713,-0.04208220555
526,NVRI,AAPL,0.4479942132,0.01351915376
512,PFBC,COF,0.4420949386,0.2159639097
353,HLIT,GD,0.4405407848,0.05145525645
310,PHIN,ORCL,0.4386445892,0.1189783188
404,HMN,MO,0.4356979081,0.3087389734
41,SPXC,SO,0.4267828771,0.913970696
402,PUMP,TMO,0.4221860014,-0.009828071818
212,ALG,DHR,0.4185152525,0.2487079866
577,ITOS,NKE,0.4147623556,-0.2478202293
166,STAA,EXC,0.3742500565,1.995207691
126,FTRE,PM,0.352645818,0.4002927646
132,VRTV,HD,0.2493205077,0.03815617074
498,HAYN,EXC,0.2386190707,1.023287249
435,COLL,BK,0.1695130082,-0.1554446412
412,PRAA,AMZN,0.1516707367,0.05518370226
